,RELIANCE_rsi_dma_crossover,RELIANCE_macd_crossover,RELIANCE_vwap_reversion,TCS_rsi_dma_crossover,TCS_macd_crossover,TCS_vwap_reversion,INFY_rsi_dma_crossover,INFY_macd_crossover,INFY_vwap_reversion
2025-04-01,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-04-02,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-04-03,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-04-04,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-04-07,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-04-08,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-04-09,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-04-10,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-04-11,100000.0,100000.0,100000.0,100000.0,90599.8,100000.0,100000.0,100000.0,100000.0
2025-04-14,100000.0,100000.0,100000.0,100000.0,88919.52,100000.0,100000.0,100000.0,100000.0
2025-04-15,100000.0,100000.0,100000.0,100000.0,88427.52,100000.0,100000.0,100000.0,100000.0
2025-04-16,100000.0,100000.0,100000.0,100000.0,87393.77,100000.0,100000.0,100000.0,100000.0
2025-04-17,100000.0,100000.0,100000.0,100000.0,87349.27,100000.0,100000.0,100000.0,100000.0
2025-04-18,100000.0,100000.0,100000.0,100000.0,86179.02,100000.0,100000.0,100000.0,100000.0
2025-04-21,100000.0,100000.0,100000.0,100000.0,88518.31,100000.0,100000.0,100000.0,100000.0
2025-04-22,100000.0,100000.0,100000.0,100000.0,89434.29,100000.0,100000.0,100000.0,100000.0
2025-04-23,100000.0,100000.0,100000.0,100000.0,89994.59,100000.0,100000.0,100000.0,100000.0
2025-04-24,100000.0,100000.0,100000.0,100000.0,89941.03,100000.0,100000.0,100711.61,100000.0
2025-04-25,100000.0,100000.0,100000.0,100000.0,91613.87,100000.0,100000.0,99900.17,100000.0
2025-04-28,100000.0,100000.0,100000.0,100000.0,91052.79,100000.0,100000.0,99333.8,100000.0
2025-04-29,100000.0,100000.0,100000.0,100000.0,90470.91,100000.0,100000.0,99723.14,100000.0
2025-04-30,100000.0,100000.0,100000.0,100000.0,89606.67,100000.0,100000.0,99526.58,100000.0
2025-05-01,100000.0,100000.0,100000.0,100000.0,91973.45,100000.0,100000.0,100750.04,100000.0
2025-05-02,100000.0,100000.0,100000.0,100000.0,90101.71,100000.0,100000.0,100910.06,100000.0
2025-05-05,100000.0,100000.0,100000.0,100000.0,90766.01,100000.0,100000.0,100415.51,100000.0
2025-05-06,100000.0,100000.0,100000.0,100000.0,90582.45,100000.0,100000.0,102348.98,100000.0
2025-05-07,100000.0,100000.0,100000.0,100000.0,89958.97,100000.0,100000.0,103050.8,100000.0
2025-05-08,100000.0,100000.0,100000.0,100000.0,90596.49,100000.0,100000.0,100308.41,100000.0
2025-05-09,100000.0,100000.0,100000.0,100000.0,90856.49,100000.0,100000.0,100537.73,100000.0
2025-05-12,100000.0,100000.0,100000.0,100000.0,90461.03,100000.0,100000.0,98779.4,100000.0
2025-05-13,100000.0,100000.0,100000.0,100000.0,91088.41,100000.0,100000.0,100564.19,100000.0
2025-05-14,100000.0,100000.0,100000.0,100000.0,89908.27,100000.0,100000.0,99243.71,100000.0
2025-05-15,100000.0,100000.0,100000.0,100000.0,90688.79,100000.0,100000.0,101607.47,100000.0
2025-05-16,100000.0,100000.0,100000.0,100000.0,90678.39,100000.0,100000.0,101107.88,100000.0
2025-05-19,100000.0,100000.0,100000.0,100000.0,92208.49,100000.0,100000.0,100120.67,100000.0
2025-05-20,100000.0,100000.0,100000.0,100000.0,90209.09,100000.0,100000.0,100075.94,100000.0
2025-05-21,100000.0,100000.0,100000.0,100000.0,90652.39,100000.0,100000.0,103032.53,100000.0
2025-05-22,100000.0,100000.0,100000.0,100000.0,88696.93,100000.0,100000.0,102665.24,100000.0
2025-05-23,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,102367.25,100000.0
2025-05-26,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,103474.79,100000.0
2025-05-27,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,103755.77,100000.0
2025-05-28,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,105444.8,100000.0
2025-05-29,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,106741.97,100000.0
2025-05-30,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,106778.51,100000.0
2025-06-02,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,106346.96,100000.0
2025-06-03,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,107133.2,100000.0
2025-06-04,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,107894.24,100000.0
2025-06-05,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,109730.06,100000.0
2025-06-06,100000.0,100000.0,100000.0,100000.0,88597.46,100000.0,100000.0,109928.51,100000.0
